-1.5	0.5955625	0	0.0005641
-1.4	0.5878008	0	0.0014618
-1.3	0.5786604	0	0.0012411
-1.275	0.5724652	0	0.0028626
-1.25	0.5547077	0	0.0027806
-1.225	0.5483563	0	0.0021235
-1.2	0.54397	0	0.0025225
-1.1	0.5295877	0	0.0028832
-1	0.5221708	0	0.0024667
-0.9	0.5164172	0	0.003329
-0.8	0.5120622	0	0.0020597
-0.7	0.5098666	0	0.0027817
-0.6	0.506897	0	0.0030451
-0.5	0.505197	0	0.0030451
-0.4	0.5035652	0	0.0024132
-0.3	0.5025652	0	0.0024132
-0.2	0.5017125	0	0.0029532
-0.1	0.5010125	0	0.0029532
0	0.5004628	0	0.0015795
